x1,x2
-2.985907795194642222e-02,-3.583759626066499449e-01
-3.713209634675049831e-01,-3.885075345054536111e-01
-1.889263298772438926e-01,-5.959222624579929573e-02
6.906310899123524472e-02,1.425828020480837122e-01
2.955439985696585170e-01,1.299831512779630049e-01
-3.665669295708113840e-01,-1.878190373373050948e-01
-4.623143633699942079e-01,-4.347523961361760003e-01
3.163877202844719294e-01,-2.381109465060377017e-01
-5.405064955953172712e-01,-2.196782899107007081e-01
2.519388152115915602e-01,-3.710849434982054218e-01
-4.616794215956533387e-01,-3.505558257225094287e-03
-2.781279352999591614e-01,-5.208095225867529487e-01
-1.001258335827850399e-01,-9.957549196945991721e-02
-4.548157307601303767e-01,3.365774400569105929e-01
7.889001583030463838e-02,-5.338808374900377851e-01
3.656721007297771830e-01,-2.532212294921789564e-01
-1.649947295990883411e-01,-4.092689412160008811e-01
-3.571749071676921794e-02,1.128257447648463030e-01
-2.516628025709709560e-01,-2.090212328918717999e-01
4.681030734909852331e-02,3.023423142489956028e-01
-1.634864983547266171e-01,2.657603218578656890e-01
-5.253010574103673669e-01,4.313713482370783447e-01
-3.656954431181680398e-02,3.566639624095402361e-01
-1.254427950088388144e-01,-7.726284327587928935e-03
2.013578383885252787e-01,-3.174512079729471248e-01
-2.449117150768105322e-01,1.124946088569631630e-01
-3.287661692175420924e-01,-4.478203998147812781e-01
1.562608273478504062e-01,-9.696279636282922887e-02
-2.393721458584878725e-01,-2.732124788815710748e-01
-1.175010774379781076e-01,-3.413520492065285072e-01
-9.205026444925756834e-02,-4.476055126317223243e-01
-7.114642718887198569e-02,-6.955088404187126372e-03
-4.731949383665340347e-01,3.131994683108180189e-01
2.794535468699202996e-01,-1.010774934938833969e-01
-4.853722659711745546e-02,5.165354262244048478e-02
-4.175338560261184773e-01,1.513718392132438195e-01
3.486708862495971895e-01,-4.267597050940910020e-01
2.885028030387261078e-01,-5.293533582586469333e-01
2.382252873395936943e-01,-3.828784710418626780e-01
2.752202858507628580e-01,6.989266487106371439e-02
1.383166806577612595e-01,-2.875532656610206850e-01
-1.453537767865964447e-02,-3.024475635978031152e-01
4.368384134324946322e-01,1.742203708556102626e-01
-3.368381673718141567e-01,1.257448834347779654e-01
2.597724017177704958e-02,2.168028624618061340e-01
1.203848296034587539e-01,3.583588166175735168e-01
-1.456747741212405245e-01,1.925969755723357935e-01
4.294637642369878439e-01,-5.042737046482567154e-01
-4.648404512192363391e-01,-4.639585327441561047e-01
1.970063829219371732e-01,-2.055693982348403281e-01
2.234741863299775089e-01,2.416756508093991229e-01
1.403746987761700371e-01,-2.025650761833318603e-01
3.036384436957895172e-02,-2.502710714365140587e-01
-5.194962741888095037e-01,-3.862992989571172320e-01
6.631638833701214431e-02,1.424337192310276556e-03
2.477787171143515099e-01,2.622562957061450595e-01
-3.248149949346050835e-01,-2.709720213215325302e-01
-4.605487534356618173e-01,1.898187399462132330e-01
4.264077210953015618e-01,4.352132129270547267e-01
-3.593990859641859048e-01,-5.373196420870990364e-01
4.113915755754012915e-01,9.603916319571204063e-02
-2.621809129956976792e-01,-5.468516838519205114e-01
5.816563508743799460e-02,1.964023177118188190e-01
2.370675257441630102e-01,4.035269429949214226e-01
-3.917076813768037846e-01,3.084470195972779383e-01
-2.422201006532672674e-01,4.338036405540133256e-01
-3.259783422278270670e-01,-1.229702201408106044e-01
3.694066926303377629e-01,-4.145295806548694451e-01
4.072139589818853933e-01,2.576894678536481020e-01
1.509341119422613620e-01,-2.875992625082995913e-01
-2.848648420620761845e-01,1.157394853748524577e-01
-1.154219996105457779e-01,-2.404804791128336561e-01
-1.424100350196386700e-01,-4.098576743688130408e-01
-8.793289761100075985e-02,-3.971989202064030167e-02
4.210665596961856716e-01,-5.263598960761978196e-01
-1.596835758498186264e-01,-2.182998255544132959e-02
-1.320903611927777277e-01,1.965030717769937763e-01
4.294652287539710844e-01,-4.114288901628166961e-01
1.131054761547818366e-01,1.773695101165083665e-01
-4.965914148974153175e-01,-4.468465533219976304e-01
-7.193605367533206785e-02,-3.371272218682049848e-01
-7.350623767021713384e-02,-2.479368035368705314e-01
-3.144400642316371730e-01,-3.373470457095495423e-01
1.026146564597654187e-01,1.061292980891113125e-01
1.282560094829914288e-01,-3.059238364526953857e-01
-2.217182963099724180e-01,-8.479595162921860219e-02
1.924447704909401091e-01,-4.269579972880548357e-01
1.225642978107872594e-01,3.570917264834668758e-01
3.821053143523477358e-01,1.974042063041346884e-01
-3.718560005782367561e-02,4.289369895295903623e-01
1.041989198909325509e-01,-2.438689228230759287e-01
4.362106038363775529e-01,-1.565647503124215634e-01
2.475770269129732304e-01,7.099411349399786797e-02
3.130779048893561622e-02,-1.829179554942352848e-01
-2.949621240799354949e-01,-1.667677164104131027e-02
-4.552410995260711690e-01,1.334058711967028854e-01
-2.468833224373649937e-01,-2.885452656757846457e-01
2.572291129334256521e-01,-1.965528832233626177e-01
1.824693116907959434e-01,-3.592084203332553960e-01
-4.591821983684999386e-01,2.446498166172694777e-01
-5.075863149374532091e-01,-1.567488118596013225e-01
-1.315655656548812003e-01,1.074299584868203539e-01
-1.794263456947433610e-01,6.657185610222693395e-02
-2.192723839223771343e-01,1.603843902734393145e-01
-2.098298011388505246e-01,2.593163991665548007e-01
3.640583969565277522e-01,-3.153435139821609834e-01
3.786354013137950281e-01,-1.616299541681560648e-01
-1.773834918051131471e-02,-1.514336469467291169e-01
-2.868481076302262789e-01,2.273269135948403630e-01
1.011632564972770876e-01,4.188869805641970423e-01
-2.818204709343874459e-02,4.284664653591867545e-01
-4.235234869357775711e-01,2.781016714563298020e-01
-2.056127257301380018e-01,7.483126472284851172e-02
3.747569531479216787e-01,1.676363917045712304e-01
